instance,lable,predicted,tp,tn,fp,fn,correctness
0,-1,-1,0,1,0,0,1.0
1,-1,-1,0,2,0,0,1.0
2,-1,-1,0,3,0,0,1.0
3,-1,-1,0,4,0,0,1.0
4,-1,-1,0,5,0,0,1.0
5,-1,-1,0,6,0,0,1.0
6,-1,-1,0,7,0,0,1.0
7,-1,-1,0,8,0,0,1.0
8,-1,-1,0,9,0,0,1.0
9,-1,-1,0,10,0,0,1.0
10,-1,-1,0,11,0,0,1.0
11,-1,-1,0,12,0,0,1.0
12,-1,1,0,12,1,0,0.9230769230769231
13,-1,-1,0,13,1,0,0.9285714285714286
14,-1,-1,0,14,1,0,0.9333333333333333
15,-1,-1,0,15,1,0,0.9375
16,-1,-1,0,16,1,0,0.9411764705882353
17,-1,-1,0,17,1,0,0.9444444444444444
18,-1,-1,0,18,1,0,0.9473684210526315
19,-1,-1,0,19,1,0,0.95
20,-1,-1,0,20,1,0,0.9523809523809523
21,-1,-1,0,21,1,0,0.9545454545454546
22,-1,1,0,21,2,0,0.9130434782608695
23,-1,-1,0,22,2,0,0.9166666666666666
24,-1,-1,0,23,2,0,0.92
25,1,-1,0,23,2,1,0.8846153846153846
26,-1,-1,0,24,2,1,0.8888888888888888
27,-1,-1,0,25,2,1,0.8928571428571429
28,-1,-1,0,26,2,1,0.896551724137931
29,-1,-1,0,27,2,1,0.9
30,-1,-1,0,28,2,1,0.9032258064516129
31,-1,-1,0,29,2,1,0.90625
32,-1,-1,0,30,2,1,0.9090909090909091
33,-1,-1,0,31,2,1,0.9117647058823529
34,-1,-1,0,32,2,1,0.9142857142857143
35,1,-1,0,32,2,2,0.8888888888888888
36,-1,-1,0,33,2,2,0.8918918918918919
37,-1,-1,0,34,2,2,0.8947368421052632
38,-1,-1,0,35,2,2,0.8974358974358975
39,-1,-1,0,36,2,2,0.9
40,-1,-1,0,37,2,2,0.9024390243902439
41,-1,-1,0,38,2,2,0.9047619047619048
42,-1,-1,0,39,2,2,0.9069767441860465
43,-1,-1,0,40,2,2,0.9090909090909091
44,-1,-1,0,41,2,2,0.9111111111111111
45,-1,-1,0,42,2,2,0.9130434782608695
46,-1,1,0,42,3,2,0.8936170212765957
47,-1,-1,0,43,3,2,0.8958333333333334
48,-1,-1,0,44,3,2,0.8979591836734694
49,-1,-1,0,45,3,2,0.9
50,-1,-1,0,46,3,2,0.9019607843137255
51,-1,-1,0,47,3,2,0.9038461538461539
52,-1,-1,0,48,3,2,0.9056603773584906
53,-1,-1,0,49,3,2,0.9074074074074074
54,-1,-1,0,50,3,2,0.9090909090909091
55,-1,-1,0,51,3,2,0.9107142857142857
56,-1,-1,0,52,3,2,0.9122807017543859
57,-1,-1,0,53,3,2,0.9137931034482759
58,-1,-1,0,54,3,2,0.9152542372881356
59,-1,-1,0,55,3,2,0.9166666666666666
60,-1,1,0,55,4,2,0.9016393442622951
61,-1,1,0,55,5,2,0.8870967741935484
62,-1,-1,0,56,5,2,0.8888888888888888
63,-1,-1,0,57,5,2,0.890625
64,-1,-1,0,58,5,2,0.8923076923076924
65,1,-1,0,58,5,3,0.8787878787878788
66,-1,-1,0,59,5,3,0.8805970149253731
67,1,-1,0,59,5,4,0.8676470588235294
68,-1,-1,0,60,5,4,0.8695652173913043
69,-1,-1,0,61,5,4,0.8714285714285714
70,1,-1,0,61,5,5,0.8591549295774648
71,-1,-1,0,62,5,5,0.8611111111111112
72,-1,-1,0,63,5,5,0.863013698630137
73,-1,-1,0,64,5,5,0.8648648648648649
74,-1,-1,0,65,5,5,0.8666666666666667
75,1,1,1,65,5,5,0.868421052631579
76,-1,-1,1,66,5,5,0.8701298701298701
77,-1,-1,1,67,5,5,0.8717948717948718
78,-1,1,1,67,6,5,0.8607594936708861
79,-1,-1,1,68,6,5,0.8625
80,-1,-1,1,69,6,5,0.8641975308641975
81,-1,-1,1,70,6,5,0.8658536585365854
82,-1,1,1,70,7,5,0.8554216867469879
83,-1,-1,1,71,7,5,0.8571428571428571
84,1,-1,1,71,7,6,0.8470588235294118
85,-1,-1,1,72,7,6,0.8488372093023255
86,1,-1,1,72,7,7,0.8390804597701149
87,-1,-1,1,73,7,7,0.8409090909090909
88,-1,-1,1,74,7,7,0.8426966292134831
89,-1,-1,1,75,7,7,0.8444444444444444
90,-1,-1,1,76,7,7,0.8461538461538461
91,-1,-1,1,77,7,7,0.8478260869565217
92,-1,-1,1,78,7,7,0.8494623655913979
93,-1,-1,1,79,7,7,0.851063829787234
94,-1,-1,1,80,7,7,0.8526315789473684
95,-1,-1,1,81,7,7,0.8541666666666666
96,-1,-1,1,82,7,7,0.8556701030927835
97,-1,-1,1,83,7,7,0.8571428571428571
98,-1,-1,1,84,7,7,0.8585858585858586
99,-1,-1,1,85,7,7,0.86
100,-1,-1,1,86,7,7,0.8613861386138614
101,-1,-1,1,87,7,7,0.8627450980392157
102,-1,-1,1,88,7,7,0.8640776699029126
103,-1,-1,1,89,7,7,0.8653846153846154
104,-1,-1,1,90,7,7,0.8666666666666667
105,-1,-1,1,91,7,7,0.8679245283018868
106,-1,-1,1,92,7,7,0.8691588785046729
107,-1,-1,1,93,7,7,0.8703703703703703
108,-1,-1,1,94,7,7,0.8715596330275229
109,-1,-1,1,95,7,7,0.8727272727272727
110,-1,-1,1,96,7,7,0.8738738738738738
111,-1,-1,1,97,7,7,0.875
112,-1,-1,1,98,7,7,0.8761061946902655
113,1,-1,1,98,7,8,0.868421052631579
114,-1,-1,1,99,7,8,0.8695652173913043
115,-1,-1,1,100,7,8,0.8706896551724138
116,-1,-1,1,101,7,8,0.8717948717948718
117,-1,-1,1,102,7,8,0.8728813559322034
118,1,-1,1,102,7,9,0.865546218487395
119,-1,-1,1,103,7,9,0.8666666666666667
120,-1,-1,1,104,7,9,0.8677685950413223
121,-1,-1,1,105,7,9,0.8688524590163934
122,-1,-1,1,106,7,9,0.8699186991869918
123,1,1,2,106,7,9,0.8709677419354839
124,-1,-1,2,107,7,9,0.872
125,-1,-1,2,108,7,9,0.873015873015873
126,-1,-1,2,109,7,9,0.8740157480314961
127,-1,-1,2,110,7,9,0.875
128,-1,-1,2,111,7,9,0.875968992248062
129,1,-1,2,111,7,10,0.8692307692307693
130,-1,-1,2,112,7,10,0.8702290076335878
131,-1,-1,2,113,7,10,0.8712121212121212
132,-1,-1,2,114,7,10,0.8721804511278195
133,-1,-1,2,115,7,10,0.8731343283582089
134,-1,-1,2,116,7,10,0.8740740740740741
135,1,-1,2,116,7,11,0.8676470588235294
136,-1,-1,2,117,7,11,0.8686131386861314
137,-1,-1,2,118,7,11,0.8695652173913043
138,1,1,3,118,7,11,0.8705035971223022
139,-1,-1,3,119,7,11,0.8714285714285714
140,-1,-1,3,120,7,11,0.8723404255319149
141,-1,-1,3,121,7,11,0.8732394366197183
142,-1,-1,3,122,7,11,0.8741258741258742
143,-1,-1,3,123,7,11,0.875
144,-1,-1,3,124,7,11,0.8758620689655172
145,-1,-1,3,125,7,11,0.8767123287671232
146,-1,-1,3,126,7,11,0.8775510204081632
147,1,-1,3,126,7,12,0.8716216216216216
148,-1,-1,3,127,7,12,0.87248322147651
149,1,-1,3,127,7,13,0.8666666666666667
150,-1,-1,3,128,7,13,0.8675496688741722
151,-1,-1,3,129,7,13,0.868421052631579
152,-1,-1,3,130,7,13,0.869281045751634
153,-1,-1,3,131,7,13,0.8701298701298701
154,-1,-1,3,132,7,13,0.8709677419354839
155,-1,-1,3,133,7,13,0.8717948717948718
156,1,-1,3,133,7,14,0.8662420382165605
157,-1,-1,3,134,7,14,0.8670886075949367
158,-1,-1,3,135,7,14,0.8679245283018868
159,-1,-1,3,136,7,14,0.86875
160,1,-1,3,136,7,15,0.8633540372670807
161,-1,-1,3,137,7,15,0.8641975308641975
162,-1,-1,3,138,7,15,0.8650306748466258
163,-1,-1,3,139,7,15,0.8658536585365854
164,-1,-1,3,140,7,15,0.8666666666666667
