instance,lable,predicted,tp,tn,fp,fn,correctness
0,1,-1,0,0,0,1,0.0
1,-1,-1,0,1,0,1,0.5
2,-1,-1,0,2,0,1,0.6666666666666666
3,-1,-1,0,3,0,1,0.75
4,-1,-1,0,4,0,1,0.8
5,-1,-1,0,5,0,1,0.8333333333333334
6,-1,1,0,5,1,1,0.7142857142857143
7,-1,-1,0,6,1,1,0.75
8,1,-1,0,6,1,2,0.6666666666666666
9,-1,-1,0,7,1,2,0.7
10,-1,-1,0,8,1,2,0.7272727272727273
11,-1,-1,0,9,1,2,0.75
12,-1,-1,0,10,1,2,0.7692307692307693
13,-1,-1,0,11,1,2,0.7857142857142857
14,-1,-1,0,12,1,2,0.8
15,-1,-1,0,13,1,2,0.8125
16,-1,-1,0,14,1,2,0.8235294117647058
17,-1,-1,0,15,1,2,0.8333333333333334
18,-1,-1,0,16,1,2,0.8421052631578947
19,-1,-1,0,17,1,2,0.85
20,-1,-1,0,18,1,2,0.8571428571428571
21,-1,-1,0,19,1,2,0.8636363636363636
22,-1,-1,0,20,1,2,0.8695652173913043
23,-1,-1,0,21,1,2,0.875
24,-1,-1,0,22,1,2,0.88
25,-1,-1,0,23,1,2,0.8846153846153846
26,-1,-1,0,24,1,2,0.8888888888888888
27,-1,-1,0,25,1,2,0.8928571428571429
28,-1,-1,0,26,1,2,0.896551724137931
29,-1,-1,0,27,1,2,0.9
30,-1,-1,0,28,1,2,0.9032258064516129
31,-1,-1,0,29,1,2,0.90625
32,-1,-1,0,30,1,2,0.9090909090909091
33,-1,-1,0,31,1,2,0.9117647058823529
34,-1,-1,0,32,1,2,0.9142857142857143
35,-1,-1,0,33,1,2,0.9166666666666666
36,-1,-1,0,34,1,2,0.918918918918919
37,-1,-1,0,35,1,2,0.9210526315789473
38,-1,-1,0,36,1,2,0.9230769230769231
39,-1,-1,0,37,1,2,0.925
40,-1,-1,0,38,1,2,0.926829268292683
41,-1,-1,0,39,1,2,0.9285714285714286
42,-1,1,0,39,2,2,0.9069767441860465
43,-1,-1,0,40,2,2,0.9090909090909091
44,-1,-1,0,41,2,2,0.9111111111111111
45,-1,-1,0,42,2,2,0.9130434782608695
46,1,-1,0,42,2,3,0.8936170212765957
47,-1,-1,0,43,2,3,0.8958333333333334
48,-1,-1,0,44,2,3,0.8979591836734694
49,-1,-1,0,45,2,3,0.9
50,-1,-1,0,46,2,3,0.9019607843137255
51,-1,-1,0,47,2,3,0.9038461538461539
52,-1,-1,0,48,2,3,0.9056603773584906
53,1,-1,0,48,2,4,0.8888888888888888
54,-1,-1,0,49,2,4,0.8909090909090909
55,-1,-1,0,50,2,4,0.8928571428571429
56,-1,-1,0,51,2,4,0.8947368421052632
57,-1,-1,0,52,2,4,0.896551724137931
58,-1,-1,0,53,2,4,0.8983050847457628
59,-1,-1,0,54,2,4,0.9
60,-1,-1,0,55,2,4,0.9016393442622951
61,1,-1,0,55,2,5,0.8870967741935484
62,-1,-1,0,56,2,5,0.8888888888888888
63,1,-1,0,56,2,6,0.875
64,-1,-1,0,57,2,6,0.8769230769230769
65,-1,-1,0,58,2,6,0.8787878787878788
66,-1,-1,0,59,2,6,0.8805970149253731
67,-1,-1,0,60,2,6,0.8823529411764706
68,1,-1,0,60,2,7,0.8695652173913043
69,-1,-1,0,61,2,7,0.8714285714285714
70,-1,-1,0,62,2,7,0.8732394366197183
71,-1,-1,0,63,2,7,0.875
72,-1,-1,0,64,2,7,0.8767123287671232
73,-1,-1,0,65,2,7,0.8783783783783784
74,-1,-1,0,66,2,7,0.88
75,-1,-1,0,67,2,7,0.881578947368421
76,-1,-1,0,68,2,7,0.8831168831168831
77,1,-1,0,68,2,8,0.8717948717948718
78,1,-1,0,68,2,9,0.8607594936708861
79,-1,-1,0,69,2,9,0.8625
80,-1,-1,0,70,2,9,0.8641975308641975
81,-1,-1,0,71,2,9,0.8658536585365854
82,-1,-1,0,72,2,9,0.8674698795180723
83,-1,-1,0,73,2,9,0.8690476190476191
84,-1,-1,0,74,2,9,0.8705882352941177
85,-1,-1,0,75,2,9,0.872093023255814
86,-1,-1,0,76,2,9,0.8735632183908046
87,-1,-1,0,77,2,9,0.875
88,-1,-1,0,78,2,9,0.8764044943820225
89,-1,-1,0,79,2,9,0.8777777777777778
90,-1,-1,0,80,2,9,0.8791208791208791
91,1,-1,0,80,2,10,0.8695652173913043
92,-1,-1,0,81,2,10,0.8709677419354839
93,-1,-1,0,82,2,10,0.8723404255319149
94,-1,-1,0,83,2,10,0.8736842105263158
95,-1,-1,0,84,2,10,0.875
96,-1,-1,0,85,2,10,0.8762886597938144
97,-1,-1,0,86,2,10,0.8775510204081632
98,-1,-1,0,87,2,10,0.8787878787878788
99,-1,-1,0,88,2,10,0.88
100,-1,-1,0,89,2,10,0.8811881188118812
101,-1,-1,0,90,2,10,0.8823529411764706
102,-1,-1,0,91,2,10,0.883495145631068
103,1,-1,0,91,2,11,0.875
104,-1,-1,0,92,2,11,0.8761904761904762
105,-1,-1,0,93,2,11,0.8773584905660378
106,1,-1,0,93,2,12,0.8691588785046729
107,-1,-1,0,94,2,12,0.8703703703703703
108,-1,-1,0,95,2,12,0.8715596330275229
109,-1,-1,0,96,2,12,0.8727272727272727
110,-1,-1,0,97,2,12,0.8738738738738738
111,-1,-1,0,98,2,12,0.875
112,-1,-1,0,99,2,12,0.8761061946902655
113,-1,-1,0,100,2,12,0.8771929824561403
114,-1,-1,0,101,2,12,0.8782608695652174
115,1,-1,0,101,2,13,0.8706896551724138
116,-1,-1,0,102,2,13,0.8717948717948718
