instance,lable,predicted,tp,tn,fp,fn,correctness
0,-1,-1,0,1,0,0,1.0
1,-1,-1,0,2,0,0,1.0
2,-1,-1,0,3,0,0,1.0
3,-1,-1,0,4,0,0,1.0
4,-1,-1,0,5,0,0,1.0
5,-1,-1,0,6,0,0,1.0
6,-1,-1,0,7,0,0,1.0
7,-1,-1,0,8,0,0,1.0
8,-1,-1,0,9,0,0,1.0
9,-1,-1,0,10,0,0,1.0
10,-1,-1,0,11,0,0,1.0
11,-1,-1,0,12,0,0,1.0
12,-1,-1,0,13,0,0,1.0
13,1,-1,0,13,0,1,0.9285714285714286
14,-1,-1,0,14,0,1,0.9333333333333333
15,-1,-1,0,15,0,1,0.9375
16,-1,-1,0,16,0,1,0.9411764705882353
17,1,-1,0,16,0,2,0.8888888888888888
18,-1,-1,0,17,0,2,0.8947368421052632
19,-1,-1,0,18,0,2,0.9
20,1,-1,0,18,0,3,0.8571428571428571
21,-1,-1,0,19,0,3,0.8636363636363636
22,-1,-1,0,20,0,3,0.8695652173913043
23,-1,-1,0,21,0,3,0.875
24,-1,-1,0,22,0,3,0.88
25,-1,-1,0,23,0,3,0.8846153846153846
26,-1,-1,0,24,0,3,0.8888888888888888
27,-1,-1,0,25,0,3,0.8928571428571429
28,-1,-1,0,26,0,3,0.896551724137931
29,-1,-1,0,27,0,3,0.9
30,-1,-1,0,28,0,3,0.9032258064516129
31,-1,-1,0,29,0,3,0.90625
32,-1,-1,0,30,0,3,0.9090909090909091
33,-1,-1,0,31,0,3,0.9117647058823529
34,-1,-1,0,32,0,3,0.9142857142857143
35,-1,-1,0,33,0,3,0.9166666666666666
36,-1,-1,0,34,0,3,0.918918918918919
37,-1,-1,0,35,0,3,0.9210526315789473
38,-1,-1,0,36,0,3,0.9230769230769231
39,-1,-1,0,37,0,3,0.925
40,-1,-1,0,38,0,3,0.926829268292683
41,-1,-1,0,39,0,3,0.9285714285714286
42,-1,-1,0,40,0,3,0.9302325581395349
43,-1,-1,0,41,0,3,0.9318181818181818
44,-1,-1,0,42,0,3,0.9333333333333333
45,-1,-1,0,43,0,3,0.9347826086956522
46,-1,-1,0,44,0,3,0.9361702127659575
47,-1,-1,0,45,0,3,0.9375
48,1,-1,0,45,0,4,0.9183673469387755
49,-1,-1,0,46,0,4,0.92
50,-1,-1,0,47,0,4,0.9215686274509803
51,-1,-1,0,48,0,4,0.9230769230769231
52,-1,-1,0,49,0,4,0.9245283018867925
53,-1,-1,0,50,0,4,0.9259259259259259
54,-1,-1,0,51,0,4,0.9272727272727272
55,-1,-1,0,52,0,4,0.9285714285714286
56,1,-1,0,52,0,5,0.9122807017543859
57,1,-1,0,52,0,6,0.896551724137931
58,-1,-1,0,53,0,6,0.8983050847457628
59,-1,-1,0,54,0,6,0.9
60,1,-1,0,54,0,7,0.8852459016393442
61,-1,-1,0,55,0,7,0.8870967741935484
62,-1,-1,0,56,0,7,0.8888888888888888
63,-1,-1,0,57,0,7,0.890625
64,-1,-1,0,58,0,7,0.8923076923076924
65,-1,-1,0,59,0,7,0.8939393939393939
66,-1,-1,0,60,0,7,0.8955223880597015
67,-1,-1,0,61,0,7,0.8970588235294118
68,-1,-1,0,62,0,7,0.8985507246376812
69,1,-1,0,62,0,8,0.8857142857142857
70,-1,-1,0,63,0,8,0.8873239436619719
71,-1,-1,0,64,0,8,0.8888888888888888
72,-1,-1,0,65,0,8,0.8904109589041096
73,-1,-1,0,66,0,8,0.8918918918918919
74,-1,-1,0,67,0,8,0.8933333333333333
75,-1,-1,0,68,0,8,0.8947368421052632
76,-1,-1,0,69,0,8,0.8961038961038961
77,-1,-1,0,70,0,8,0.8974358974358975
78,-1,-1,0,71,0,8,0.8987341772151899
79,-1,-1,0,72,0,8,0.9
80,-1,-1,0,73,0,8,0.9012345679012346
81,-1,-1,0,74,0,8,0.9024390243902439
82,-1,-1,0,75,0,8,0.9036144578313253
83,1,-1,0,75,0,9,0.8928571428571429
84,-1,-1,0,76,0,9,0.8941176470588236
85,-1,-1,0,77,0,9,0.8953488372093024
86,-1,-1,0,78,0,9,0.896551724137931
87,1,-1,0,78,0,10,0.8863636363636364
88,-1,-1,0,79,0,10,0.8876404494382022
89,-1,-1,0,80,0,10,0.8888888888888888
90,-1,-1,0,81,0,10,0.8901098901098901
91,-1,-1,0,82,0,10,0.8913043478260869
92,-1,-1,0,83,0,10,0.8924731182795699
93,-1,-1,0,84,0,10,0.8936170212765957
94,-1,-1,0,85,0,10,0.8947368421052632
95,-1,-1,0,86,0,10,0.8958333333333334
96,-1,-1,0,87,0,10,0.8969072164948454
97,-1,-1,0,88,0,10,0.8979591836734694
98,-1,-1,0,89,0,10,0.898989898989899
99,1,-1,0,89,0,11,0.89
100,-1,-1,0,90,0,11,0.8910891089108911
101,-1,-1,0,91,0,11,0.8921568627450981
102,-1,-1,0,92,0,11,0.8932038834951457
103,-1,-1,0,93,0,11,0.8942307692307693
104,-1,-1,0,94,0,11,0.8952380952380953
105,-1,-1,0,95,0,11,0.8962264150943396
106,-1,-1,0,96,0,11,0.897196261682243
107,-1,-1,0,97,0,11,0.8981481481481481
108,-1,-1,0,98,0,11,0.8990825688073395
109,1,-1,0,98,0,12,0.8909090909090909
110,-1,-1,0,99,0,12,0.8918918918918919
111,-1,-1,0,100,0,12,0.8928571428571429
112,-1,-1,0,101,0,12,0.8938053097345132
113,-1,-1,0,102,0,12,0.8947368421052632
114,-1,-1,0,103,0,12,0.8956521739130435
115,-1,-1,0,104,0,12,0.896551724137931
116,-1,-1,0,105,0,12,0.8974358974358975
117,-1,-1,0,106,0,12,0.8983050847457628
118,-1,-1,0,107,0,12,0.8991596638655462
119,1,-1,0,107,0,13,0.8916666666666667
120,-1,-1,0,108,0,13,0.8925619834710744
121,-1,-1,0,109,0,13,0.8934426229508197
122,-1,-1,0,110,0,13,0.8943089430894309
123,-1,-1,0,111,0,13,0.8951612903225806
124,-1,-1,0,112,0,13,0.896
125,-1,-1,0,113,0,13,0.8968253968253969
126,-1,-1,0,114,0,13,0.8976377952755905
127,-1,-1,0,115,0,13,0.8984375
128,-1,-1,0,116,0,13,0.8992248062015504
129,-1,-1,0,117,0,13,0.9
130,-1,-1,0,118,0,13,0.9007633587786259
131,-1,-1,0,119,0,13,0.9015151515151515
132,-1,-1,0,120,0,13,0.9022556390977443
133,-1,-1,0,121,0,13,0.9029850746268657
134,-1,-1,0,122,0,13,0.9037037037037037
135,-1,-1,0,123,0,13,0.9044117647058824
136,-1,-1,0,124,0,13,0.9051094890510949
137,1,-1,0,124,0,14,0.8985507246376812
138,-1,-1,0,125,0,14,0.8992805755395683
139,-1,-1,0,126,0,14,0.9
140,-1,-1,0,127,0,14,0.900709219858156
141,-1,-1,0,128,0,14,0.9014084507042254
142,-1,-1,0,129,0,14,0.9020979020979021
143,-1,-1,0,130,0,14,0.9027777777777778
144,-1,-1,0,131,0,14,0.903448275862069
145,1,-1,0,131,0,15,0.8972602739726028
146,-1,-1,0,132,0,15,0.8979591836734694
147,-1,-1,0,133,0,15,0.8986486486486487
148,-1,-1,0,134,0,15,0.8993288590604027
149,-1,-1,0,135,0,15,0.9
150,-1,-1,0,136,0,15,0.9006622516556292
151,-1,-1,0,137,0,15,0.9013157894736842
152,-1,-1,0,138,0,15,0.9019607843137255
153,-1,-1,0,139,0,15,0.9025974025974026
154,-1,-1,0,140,0,15,0.9032258064516129
155,-1,-1,0,141,0,15,0.9038461538461539
156,-1,-1,0,142,0,15,0.9044585987261147
157,-1,-1,0,143,0,15,0.9050632911392406
158,-1,-1,0,144,0,15,0.9056603773584906
159,-1,-1,0,145,0,15,0.90625
160,-1,-1,0,146,0,15,0.906832298136646
161,-1,-1,0,147,0,15,0.9074074074074074
162,-1,-1,0,148,0,15,0.9079754601226994
163,-1,-1,0,149,0,15,0.9085365853658537
164,-1,-1,0,150,0,15,0.9090909090909091
165,-1,-1,0,151,0,15,0.9096385542168675
