instance,lable,predicted,correctness
0,-1,-1,1.0
1,-1,-1,1.0
2,-1,-1,1.0
3,-1,-1,1.0
4,-1,-1,1.0
5,-1,-1,1.0
6,-1,-1,1.0
7,-1,-1,1.0
8,-1,-1,1.0
9,-1,-1,1.0
10,-1,-1,1.0
11,-1,-1,1.0
12,-1,-1,1.0
13,-1,-1,1.0
14,-1,-1,1.0
15,-1,-1,1.0
16,-1,-1,1.0
17,-1,-1,1.0
18,-1,-1,1.0
19,-1,-1,1.0
20,-1,-1,1.0
21,-1,-1,1.0
22,-1,-1,1.0
23,-1,-1,1.0
24,-1,-1,1.0
25,1,-1,0.9615384615384616
26,-1,-1,0.9629629629629629
27,-1,-1,0.9642857142857143
28,-1,-1,0.9655172413793104
29,-1,-1,0.9666666666666667
30,-1,-1,0.967741935483871
31,-1,-1,0.96875
32,-1,-1,0.9696969696969697
33,-1,-1,0.9705882352941176
34,-1,-1,0.9714285714285714
35,1,-1,0.9444444444444444
36,-1,-1,0.9459459459459459
37,-1,-1,0.9473684210526315
38,-1,-1,0.9487179487179487
39,-1,-1,0.95
40,-1,-1,0.9512195121951219
41,-1,-1,0.9523809523809523
42,-1,-1,0.9534883720930233
43,-1,-1,0.9545454545454546
44,-1,-1,0.9555555555555556
45,-1,-1,0.9565217391304348
46,-1,-1,0.9574468085106383
47,-1,-1,0.9583333333333334
48,-1,-1,0.9591836734693877
49,-1,-1,0.96
50,-1,-1,0.9607843137254902
51,-1,-1,0.9615384615384616
52,-1,-1,0.9622641509433962
53,-1,-1,0.9629629629629629
54,-1,-1,0.9636363636363636
55,-1,-1,0.9642857142857143
56,-1,-1,0.9649122807017544
57,-1,-1,0.9655172413793104
58,-1,-1,0.9661016949152542
59,-1,-1,0.9666666666666667
60,-1,-1,0.9672131147540983
61,-1,1,0.9516129032258065
62,-1,-1,0.9523809523809523
63,-1,-1,0.953125
64,-1,-1,0.9538461538461539
65,1,-1,0.9393939393939394
66,-1,-1,0.9402985074626866
67,1,-1,0.9264705882352942
68,-1,-1,0.927536231884058
69,-1,-1,0.9285714285714286
70,1,-1,0.9154929577464789
71,-1,-1,0.9166666666666666
72,-1,-1,0.9178082191780822
73,-1,-1,0.918918918918919
74,-1,-1,0.92
75,1,1,0.9210526315789473
76,-1,-1,0.922077922077922
77,-1,-1,0.9230769230769231
78,-1,-1,0.9240506329113924
79,-1,-1,0.925
80,-1,-1,0.9259259259259259
81,-1,-1,0.926829268292683
82,-1,1,0.9156626506024096
83,-1,-1,0.9166666666666666
84,1,-1,0.9058823529411765
85,-1,-1,0.9069767441860465
86,1,-1,0.896551724137931
87,-1,-1,0.8977272727272727
88,-1,-1,0.898876404494382
89,-1,-1,0.9
90,-1,-1,0.9010989010989011
91,-1,-1,0.9021739130434783
92,-1,-1,0.9032258064516129
93,-1,-1,0.9042553191489362
94,-1,-1,0.9052631578947369
95,-1,-1,0.90625
96,-1,-1,0.9072164948453608
97,-1,-1,0.9081632653061225
98,-1,-1,0.9090909090909091
99,-1,-1,0.91
100,-1,-1,0.9108910891089109
101,-1,-1,0.9117647058823529
102,-1,-1,0.912621359223301
103,-1,-1,0.9134615384615384
104,-1,-1,0.9142857142857143
105,-1,-1,0.9150943396226415
106,-1,-1,0.9158878504672897
107,-1,-1,0.9166666666666666
108,-1,-1,0.9174311926605505
109,-1,-1,0.9181818181818182
110,-1,-1,0.918918918918919
111,-1,-1,0.9196428571428571
112,-1,-1,0.9203539823008849
113,1,-1,0.9122807017543859
114,-1,-1,0.9130434782608695
115,-1,-1,0.9137931034482759
116,-1,-1,0.9145299145299145
117,-1,-1,0.9152542372881356
118,1,-1,0.907563025210084
119,-1,-1,0.9083333333333333
120,-1,-1,0.9090909090909091
121,-1,-1,0.9098360655737705
122,-1,-1,0.9105691056910569
123,1,-1,0.9032258064516129
124,-1,-1,0.904
125,-1,-1,0.9047619047619048
126,-1,-1,0.905511811023622
127,-1,-1,0.90625
128,-1,-1,0.9069767441860465
129,1,-1,0.9
130,-1,-1,0.9007633587786259
131,-1,-1,0.9015151515151515
132,-1,-1,0.9022556390977443
133,-1,-1,0.9029850746268657
134,-1,-1,0.9037037037037037
135,1,-1,0.8970588235294118
136,-1,-1,0.8978102189781022
137,-1,-1,0.8985507246376812
138,1,-1,0.8920863309352518
139,-1,-1,0.8928571428571429
140,-1,-1,0.8936170212765957
141,-1,-1,0.8943661971830986
142,-1,-1,0.8951048951048951
143,-1,-1,0.8958333333333334
144,-1,-1,0.896551724137931
145,-1,-1,0.8972602739726028
146,-1,-1,0.8979591836734694
147,1,-1,0.8918918918918919
148,-1,-1,0.8926174496644296
149,1,-1,0.8866666666666667
150,-1,-1,0.8874172185430463
151,-1,-1,0.8881578947368421
152,-1,-1,0.8888888888888888
153,-1,-1,0.8896103896103896
154,-1,-1,0.8903225806451613
155,-1,-1,0.8910256410256411
156,1,-1,0.8853503184713376
157,-1,-1,0.8860759493670886
158,-1,-1,0.8867924528301887
159,-1,-1,0.8875
160,1,-1,0.8819875776397516
161,-1,-1,0.8827160493827161
162,-1,-1,0.8834355828220859
163,-1,-1,0.8841463414634146
164,-1,-1,0.8848484848484849
165,-1,-1,0.8855421686746988
166,-1,-1,0.8862275449101796
167,-1,-1,0.8869047619047619
168,-1,-1,0.8875739644970414
169,-1,-1,0.888235294117647
170,-1,-1,0.8888888888888888
171,-1,-1,0.8895348837209303
172,-1,-1,0.8901734104046243
173,-1,-1,0.8908045977011494
174,-1,-1,0.8914285714285715
175,-1,-1,0.8920454545454546
176,-1,-1,0.8926553672316384
177,-1,-1,0.8932584269662921
178,-1,-1,0.8938547486033519
179,-1,-1,0.8944444444444445
180,-1,-1,0.8950276243093923
181,-1,-1,0.8956043956043956
182,1,-1,0.8907103825136612
183,1,-1,0.8858695652173914
184,-1,-1,0.8864864864864865
185,-1,-1,0.8870967741935484
186,-1,-1,0.8877005347593583
187,-1,-1,0.8882978723404256
188,-1,-1,0.8888888888888888
189,-1,-1,0.8894736842105263
190,-1,-1,0.8900523560209425
191,-1,-1,0.890625
192,-1,-1,0.8911917098445595
193,-1,-1,0.8917525773195877
194,-1,-1,0.8923076923076924
195,1,-1,0.8877551020408163
196,-1,-1,0.8883248730964467
197,-1,-1,0.8888888888888888
198,-1,-1,0.8894472361809045
199,-1,-1,0.89
200,-1,-1,0.8905472636815921
201,-1,-1,0.8910891089108911
202,-1,-1,0.8916256157635468
203,-1,-1,0.8921568627450981
204,-1,-1,0.8926829268292683
205,-1,-1,0.8932038834951457
206,-1,-1,0.893719806763285
207,-1,-1,0.8942307692307693
208,-1,-1,0.8947368421052632
209,-1,-1,0.8952380952380953
210,-1,-1,0.8957345971563981
211,-1,-1,0.8962264150943396
212,-1,-1,0.8967136150234741
213,-1,-1,0.897196261682243
214,-1,-1,0.8976744186046511
215,-1,-1,0.8981481481481481
216,-1,-1,0.8986175115207373
217,-1,-1,0.8990825688073395
218,-1,-1,0.8995433789954338
219,1,-1,0.8954545454545455
220,-1,-1,0.8959276018099548
221,-1,-1,0.8963963963963963
222,-1,-1,0.8968609865470852
223,-1,-1,0.8973214285714286
224,-1,-1,0.8977777777777778
225,-1,-1,0.8982300884955752
226,-1,-1,0.8986784140969163
227,-1,-1,0.8991228070175439
228,-1,-1,0.8995633187772926
229,-1,-1,0.9
230,-1,-1,0.9004329004329005
231,-1,-1,0.9008620689655172
232,-1,-1,0.9012875536480687
233,-1,-1,0.9017094017094017
234,-1,-1,0.902127659574468
235,-1,-1,0.902542372881356
236,-1,-1,0.9029535864978903
237,-1,-1,0.9033613445378151
238,-1,-1,0.9037656903765691
239,-1,-1,0.9041666666666667
240,-1,-1,0.9045643153526971
241,-1,-1,0.9049586776859504
242,-1,-1,0.9053497942386831
243,-1,-1,0.9057377049180327
244,-1,-1,0.9061224489795918
245,-1,-1,0.9065040650406504
246,-1,-1,0.9068825910931174
247,-1,-1,0.907258064516129
248,1,-1,0.9036144578313253
249,1,-1,0.9
250,-1,-1,0.900398406374502
251,-1,-1,0.9007936507936508
252,-1,-1,0.9011857707509882
253,-1,-1,0.9015748031496063
254,-1,-1,0.9019607843137255
255,-1,-1,0.90234375
256,-1,-1,0.9027237354085603
257,-1,-1,0.9031007751937985
258,-1,-1,0.9034749034749034
259,-1,-1,0.9038461538461539
260,-1,-1,0.9042145593869731
261,-1,-1,0.9045801526717557
262,-1,-1,0.9049429657794676
263,-1,-1,0.9053030303030303
264,-1,-1,0.9056603773584906
265,-1,-1,0.9060150375939849
266,1,-1,0.9026217228464419
267,-1,-1,0.9029850746268657
268,-1,-1,0.9033457249070632
269,-1,-1,0.9037037037037037
270,1,-1,0.9003690036900369
271,-1,-1,0.9007352941176471
272,-1,-1,0.9010989010989011
273,-1,-1,0.9014598540145985
274,-1,-1,0.9018181818181819
275,-1,-1,0.9021739130434783
276,-1,-1,0.9025270758122743
277,-1,-1,0.9028776978417267
278,-1,-1,0.9032258064516129
279,-1,-1,0.9035714285714286
280,-1,-1,0.9039145907473309
281,-1,-1,0.9042553191489362
282,-1,-1,0.9045936395759717
283,-1,-1,0.9049295774647887
284,-1,-1,0.9052631578947369
285,-1,-1,0.9055944055944056
286,-1,-1,0.9059233449477352
287,-1,-1,0.90625
288,-1,-1,0.9065743944636678
289,-1,-1,0.906896551724138
290,-1,-1,0.9072164948453608
291,1,-1,0.9041095890410958
292,-1,-1,0.9044368600682594
293,-1,-1,0.9047619047619048
294,-1,-1,0.9050847457627119
295,-1,-1,0.9054054054054054
296,-1,-1,0.9057239057239057
297,-1,-1,0.9060402684563759
298,-1,-1,0.9063545150501672
299,-1,-1,0.9066666666666666
300,-1,-1,0.9069767441860465
301,-1,-1,0.9072847682119205
302,-1,-1,0.9075907590759076
303,1,-1,0.9046052631578947
304,-1,-1,0.9049180327868852
305,-1,-1,0.9052287581699346
306,-1,-1,0.9055374592833876
307,1,-1,0.9025974025974026
308,-1,-1,0.9029126213592233
309,-1,-1,0.9032258064516129
