instance,lable,predicted,correctness
0,-1,-1,1.0
1,-1,-1,1.0
2,-1,-1,1.0
3,-1,-1,1.0
4,-1,-1,1.0
5,-1,-1,1.0
6,-1,-1,1.0
7,-1,-1,1.0
8,-1,-1,1.0
9,-1,-1,1.0
10,-1,-1,1.0
11,-1,-1,1.0
12,-1,-1,1.0
13,-1,-1,1.0
14,-1,-1,1.0
15,-1,-1,1.0
16,-1,-1,1.0
17,-1,-1,1.0
18,-1,-1,1.0
19,-1,-1,1.0
20,-1,-1,1.0
21,-1,-1,1.0
22,-1,-1,1.0
23,-1,-1,1.0
24,-1,-1,1.0
25,1,-1,0.9615384615384616
26,-1,-1,0.9629629629629629
27,-1,-1,0.9642857142857143
28,-1,-1,0.9655172413793104
29,-1,-1,0.9666666666666667
30,-1,-1,0.967741935483871
31,-1,-1,0.96875
32,-1,-1,0.9696969696969697
33,-1,-1,0.9705882352941176
34,-1,-1,0.9714285714285714
35,1,-1,0.9444444444444444
36,-1,-1,0.9459459459459459
37,-1,-1,0.9473684210526315
38,-1,-1,0.9487179487179487
39,-1,-1,0.95
40,-1,-1,0.9512195121951219
41,-1,-1,0.9523809523809523
42,-1,-1,0.9534883720930233
43,-1,-1,0.9545454545454546
44,-1,-1,0.9555555555555556
45,-1,-1,0.9565217391304348
46,-1,-1,0.9574468085106383
47,-1,-1,0.9583333333333334
48,-1,-1,0.9591836734693877
49,-1,-1,0.96
50,-1,-1,0.9607843137254902
51,-1,-1,0.9615384615384616
52,-1,-1,0.9622641509433962
53,-1,-1,0.9629629629629629
54,-1,-1,0.9636363636363636
55,-1,-1,0.9642857142857143
56,-1,-1,0.9649122807017544
57,-1,-1,0.9655172413793104
58,-1,-1,0.9661016949152542
59,-1,-1,0.9666666666666667
60,-1,-1,0.9672131147540983
61,-1,1,0.9516129032258065
62,-1,-1,0.9523809523809523
63,-1,-1,0.953125
64,-1,-1,0.9538461538461539
65,1,-1,0.9393939393939394
66,-1,-1,0.9402985074626866
67,1,-1,0.9264705882352942
68,-1,-1,0.927536231884058
69,-1,-1,0.9285714285714286
70,1,-1,0.9154929577464789
71,-1,-1,0.9166666666666666
72,-1,-1,0.9178082191780822
73,-1,-1,0.918918918918919
74,-1,-1,0.92
75,1,1,0.9210526315789473
76,-1,-1,0.922077922077922
77,-1,-1,0.9230769230769231
78,-1,-1,0.9240506329113924
79,-1,-1,0.925
80,-1,-1,0.9259259259259259
81,-1,-1,0.926829268292683
82,-1,-1,0.927710843373494
83,-1,-1,0.9285714285714286
84,1,-1,0.9176470588235294
85,-1,-1,0.9186046511627907
86,1,-1,0.9080459770114943
87,-1,-1,0.9090909090909091
88,-1,-1,0.9101123595505618
89,-1,-1,0.9111111111111111
90,-1,-1,0.9120879120879121
91,-1,-1,0.9130434782608695
92,-1,-1,0.9139784946236559
93,-1,-1,0.9148936170212766
94,-1,-1,0.9157894736842105
95,-1,-1,0.9166666666666666
96,-1,-1,0.9175257731958762
97,-1,-1,0.9183673469387755
98,-1,-1,0.9191919191919192
99,-1,-1,0.92
100,-1,-1,0.9207920792079208
101,-1,-1,0.9215686274509803
102,-1,-1,0.9223300970873787
103,-1,-1,0.9230769230769231
104,-1,-1,0.9238095238095239
105,-1,-1,0.9245283018867925
106,-1,-1,0.9252336448598131
107,-1,-1,0.9259259259259259
108,-1,-1,0.926605504587156
109,-1,-1,0.9272727272727272
110,-1,-1,0.9279279279279279
111,-1,-1,0.9285714285714286
112,-1,-1,0.9292035398230089
113,1,-1,0.9210526315789473
114,-1,-1,0.9217391304347826
115,-1,-1,0.9224137931034483
116,-1,-1,0.9230769230769231
117,-1,-1,0.923728813559322
118,1,-1,0.9159663865546218
119,-1,-1,0.9166666666666666
120,-1,-1,0.9173553719008265
121,-1,-1,0.9180327868852459
122,-1,-1,0.9186991869918699
123,1,-1,0.9112903225806451
124,-1,-1,0.912
125,-1,-1,0.9126984126984127
126,-1,-1,0.9133858267716536
127,-1,-1,0.9140625
128,-1,-1,0.9147286821705426
129,1,-1,0.9076923076923077
130,-1,-1,0.9083969465648855
131,-1,-1,0.9090909090909091
132,-1,-1,0.9097744360902256
133,-1,-1,0.9104477611940298
134,-1,-1,0.9111111111111111
135,1,-1,0.9044117647058824
136,-1,-1,0.9051094890510949
137,-1,-1,0.9057971014492754
138,1,-1,0.8992805755395683
139,-1,-1,0.9
140,-1,-1,0.900709219858156
141,-1,-1,0.9014084507042254
142,-1,-1,0.9020979020979021
143,-1,-1,0.9027777777777778
144,-1,-1,0.903448275862069
145,-1,-1,0.9041095890410958
146,-1,-1,0.9047619047619048
147,1,-1,0.8986486486486487
148,-1,-1,0.8993288590604027
149,1,-1,0.8933333333333333
150,-1,-1,0.8940397350993378
151,-1,-1,0.8947368421052632
152,-1,-1,0.8954248366013072
153,-1,-1,0.8961038961038961
154,-1,-1,0.896774193548387
155,-1,-1,0.8974358974358975
156,1,-1,0.89171974522293
157,-1,-1,0.8924050632911392
158,-1,-1,0.8930817610062893
159,-1,-1,0.89375
160,1,-1,0.8881987577639752
161,-1,-1,0.8888888888888888
162,-1,-1,0.8895705521472392
163,-1,-1,0.8902439024390244
164,-1,-1,0.8909090909090909
165,-1,-1,0.891566265060241
166,-1,-1,0.8922155688622755
167,-1,-1,0.8928571428571429
168,-1,-1,0.893491124260355
169,-1,-1,0.8941176470588236
170,-1,-1,0.8947368421052632
171,-1,-1,0.8953488372093024
172,-1,-1,0.8959537572254336
173,-1,-1,0.896551724137931
174,-1,-1,0.8971428571428571
175,-1,-1,0.8977272727272727
176,-1,-1,0.8983050847457628
177,-1,-1,0.898876404494382
178,-1,-1,0.8994413407821229
179,-1,-1,0.9
180,-1,-1,0.9005524861878453
181,-1,-1,0.9010989010989011
182,1,-1,0.8961748633879781
183,1,-1,0.8913043478260869
184,-1,-1,0.8918918918918919
185,-1,-1,0.8924731182795699
186,-1,-1,0.893048128342246
187,-1,-1,0.8936170212765957
188,-1,-1,0.8941798941798942
189,-1,-1,0.8947368421052632
190,-1,-1,0.8952879581151832
191,-1,-1,0.8958333333333334
192,-1,-1,0.8963730569948186
193,-1,-1,0.8969072164948454
194,-1,-1,0.8974358974358975
195,1,-1,0.8928571428571429
196,-1,-1,0.8934010152284264
197,-1,-1,0.8939393939393939
198,-1,-1,0.8944723618090452
199,-1,-1,0.895
200,-1,-1,0.8955223880597015
201,-1,-1,0.8960396039603961
202,-1,-1,0.896551724137931
203,-1,-1,0.8970588235294118
204,-1,-1,0.8975609756097561
205,-1,-1,0.8980582524271845
206,-1,-1,0.8985507246376812
207,-1,-1,0.8990384615384616
208,-1,-1,0.8995215311004785
209,-1,-1,0.9
210,-1,-1,0.9004739336492891
211,-1,-1,0.9009433962264151
212,-1,-1,0.9014084507042254
213,-1,-1,0.9018691588785047
214,-1,-1,0.9023255813953488
215,-1,-1,0.9027777777777778
216,-1,-1,0.9032258064516129
217,-1,-1,0.9036697247706422
218,-1,-1,0.9041095890410958
219,1,-1,0.9
220,-1,-1,0.9004524886877828
221,-1,-1,0.9009009009009009
222,-1,-1,0.9013452914798207
223,-1,-1,0.9017857142857143
224,-1,-1,0.9022222222222223
225,-1,-1,0.9026548672566371
226,-1,-1,0.9030837004405287
227,-1,-1,0.9035087719298246
228,-1,-1,0.9039301310043668
229,-1,-1,0.9043478260869565
230,-1,-1,0.9047619047619048
231,-1,-1,0.9051724137931034
232,-1,-1,0.9055793991416309
233,-1,-1,0.905982905982906
234,-1,-1,0.9063829787234042
235,-1,-1,0.9067796610169492
236,-1,-1,0.9071729957805907
237,-1,-1,0.907563025210084
238,-1,-1,0.9079497907949791
239,-1,-1,0.9083333333333333
240,-1,-1,0.9087136929460581
241,-1,-1,0.9090909090909091
242,-1,-1,0.9094650205761317
243,-1,-1,0.9098360655737705
244,-1,-1,0.9102040816326531
245,-1,-1,0.9105691056910569
246,-1,-1,0.9109311740890689
247,-1,-1,0.9112903225806451
248,1,-1,0.9076305220883534
249,1,-1,0.904
250,-1,-1,0.9043824701195219
251,-1,-1,0.9047619047619048
252,-1,-1,0.9051383399209486
253,-1,-1,0.905511811023622
254,-1,-1,0.9058823529411765
255,-1,-1,0.90625
256,-1,-1,0.9066147859922179
257,-1,-1,0.9069767441860465
258,-1,-1,0.9073359073359073
259,-1,-1,0.9076923076923077
260,-1,-1,0.9080459770114943
261,-1,-1,0.9083969465648855
262,-1,-1,0.908745247148289
263,-1,-1,0.9090909090909091
264,-1,-1,0.909433962264151
265,-1,-1,0.9097744360902256
266,1,-1,0.9063670411985019
267,-1,-1,0.9067164179104478
268,-1,-1,0.9070631970260223
269,-1,-1,0.9074074074074074
270,1,-1,0.9040590405904059
271,-1,-1,0.9044117647058824
272,-1,-1,0.9047619047619048
273,-1,-1,0.9051094890510949
274,-1,-1,0.9054545454545454
275,-1,-1,0.9057971014492754
276,-1,-1,0.9061371841155235
277,-1,-1,0.9064748201438849
278,-1,-1,0.9068100358422939
279,-1,-1,0.9071428571428571
280,-1,-1,0.9074733096085409
281,-1,-1,0.9078014184397163
282,-1,-1,0.9081272084805654
283,-1,-1,0.9084507042253521
284,-1,-1,0.9087719298245615
285,-1,-1,0.9090909090909091
286,-1,-1,0.9094076655052264
287,-1,-1,0.9097222222222222
288,-1,-1,0.9100346020761245
289,-1,-1,0.9103448275862069
290,-1,-1,0.9106529209621993
291,1,-1,0.9075342465753424
292,-1,-1,0.9078498293515358
293,-1,-1,0.9081632653061225
294,-1,-1,0.9084745762711864
295,-1,-1,0.9087837837837838
296,-1,-1,0.9090909090909091
297,-1,-1,0.9093959731543624
298,-1,-1,0.9096989966555183
299,-1,-1,0.91
300,-1,-1,0.9102990033222591
301,-1,-1,0.9105960264900662
302,-1,-1,0.9108910891089109
303,1,-1,0.9078947368421053
304,-1,-1,0.9081967213114754
305,-1,-1,0.9084967320261438
306,-1,-1,0.9087947882736156
307,1,-1,0.9058441558441559
308,-1,-1,0.9061488673139159
309,-1,-1,0.9064516129032258
